train_batch,lambda_w,noise_dim,Q05,Q25,Q50,Q75,Q95,Q05_mean,Q05_sd,Q25_mean,Q25_sd,Q50_mean,Q50_sd,Q75_mean,Q75_sd,Q95_mean,Q95_sd
5000,0.0,1,3.597(0.407),1.175(0.267),0.769(0.328),1.181(0.363),2.837(0.322),3.597,0.407,1.175,0.267,0.769,0.328,1.181,0.363,2.837,0.322
5000,0.2,1,2.109(0.401),0.973(0.309),0.824(0.339),0.985(0.360),1.583(0.404),2.109,0.401,0.973,0.309,0.824,0.339,0.985,0.36,1.583,0.404
5000,0.5,1,1.679(0.546),1.056(0.450),0.872(0.385),0.980(0.410),1.990(1.122),1.679,0.546,1.056,0.45,0.872,0.385,0.98,0.41,1.99,1.122
5000,0.9,1,1.698(0.602),1.162(0.432),1.021(0.410),1.189(0.433),2.398(0.557),1.698,0.602,1.162,0.432,1.021,0.41,1.189,0.433,2.398,0.557
5000,1.0,1,8.004(0.423),5.399(0.586),5.068(0.839),5.577(1.081),7.131(1.526),8.004,0.423,5.399,0.586,5.068,0.839,5.577,1.081,7.131,1.526
4096,0.0,1,3.381(0.323),1.102(0.292),0.794(0.343),1.310(0.355),3.163(0.265),3.381,0.323,1.102,0.292,0.794,0.343,1.31,0.355,3.163,0.265
4096,0.2,1,2.070(0.341),0.953(0.309),0.849(0.361),1.072(0.381),1.776(0.432),2.07,0.341,0.953,0.309,0.849,0.361,1.072,0.381,1.776,0.432
4096,0.5,1,1.699(0.670),1.089(0.506),0.906(0.411),0.997(0.411),1.988(1.105),1.699,0.67,1.089,0.506,0.906,0.411,0.997,0.411,1.988,1.105
4096,0.9,1,1.701(0.626),1.160(0.421),1.029(0.404),1.199(0.420),2.368(0.456),1.701,0.626,1.16,0.421,1.029,0.404,1.199,0.42,2.368,0.456
4096,1.0,1,7.956(1.170),5.357(0.821),5.022(0.857),5.519(1.003),7.039(1.411),7.956,1.17,5.357,0.821,5.022,0.857,5.519,1.003,7.039,1.411
2048,0.0,1,3.295(0.048),0.868(0.157),0.530(0.261),0.939(0.290),2.287(0.174),3.295,0.048,0.868,0.157,0.53,0.261,0.939,0.29,2.287,0.174
2048,0.2,1,1.651(0.288),0.755(0.188),0.629(0.261),0.708(0.273),1.548(0.155),1.651,0.288,0.755,0.188,0.629,0.261,0.708,0.273,1.548,0.155
2048,0.5,1,1.657(0.265),0.780(0.238),0.602(0.264),0.732(0.257),1.529(0.319),1.657,0.265,0.78,0.238,0.602,0.264,0.732,0.257,1.529,0.319
2048,0.9,1,2.568(0.782),0.897(0.278),0.729(0.279),0.946(0.341),1.715(0.487),2.568,0.782,0.897,0.278,0.729,0.279,0.946,0.341,1.715,0.487
2048,1.0,1,6.778(0.868),4.318(0.520),4.036(0.566),4.563(0.676),6.150(0.967),6.778,0.868,4.318,0.52,4.036,0.566,4.563,0.676,6.15,0.967
1024,0.0,1,3.079(0.287),0.698(0.054),0.379(0.189),0.743(0.283),1.874(0.230),3.079,0.287,0.698,0.054,0.379,0.189,0.743,0.283,1.874,0.23
1024,0.2,1,1.776(0.147),0.556(0.095),0.441(0.203),0.568(0.238),1.297(0.185),1.776,0.147,0.556,0.095,0.441,0.203,0.568,0.238,1.297,0.185
1024,0.5,1,1.645(0.091),0.599(0.145),0.431(0.171),0.616(0.184),1.330(0.172),1.645,0.091,0.599,0.145,0.431,0.171,0.616,0.184,1.33,0.172
1024,0.9,1,2.250(0.457),0.725(0.273),0.567(0.177),0.864(0.146),1.797(0.533),2.25,0.457,0.725,0.273,0.567,0.177,0.864,0.146,1.797,0.533
1024,1.0,1,4.130(1.529),3.012(1.011),2.856(1.008),3.304(0.982),5.381(1.030),4.13,1.529,3.012,1.011,2.856,1.008,3.304,0.982,5.381,1.03
512,0.0,1,2.803(0.193),0.552(0.016),0.287(0.130),0.717(0.217),2.036(0.399),2.803,0.193,0.552,0.016,0.287,0.13,0.717,0.217,2.036,0.399
512,0.2,1,1.459(0.118),0.404(0.046),0.369(0.155),0.479(0.164),1.021(0.138),1.459,0.118,0.404,0.046,0.369,0.155,0.479,0.164,1.021,0.138
512,0.5,1,1.532(0.198),0.534(0.189),0.356(0.136),0.544(0.144),1.229(0.288),1.532,0.198,0.534,0.189,0.356,0.136,0.544,0.144,1.229,0.288
512,0.9,1,1.957(0.496),0.524(0.172),0.401(0.109),0.591(0.067),1.422(0.139),1.957,0.496,0.524,0.172,0.401,0.109,0.591,0.067,1.422,0.139
512,1.0,1,2.628(0.479),1.892(0.434),1.706(0.428),1.899(0.459),4.579(2.120),2.628,0.479,1.892,0.434,1.706,0.428,1.899,0.459,4.579,2.12
256,0.0,1,3.110(0.364),0.685(0.165),0.286(0.102),0.638(0.235),2.055(0.372),3.11,0.364,0.685,0.165,0.286,0.102,0.638,0.235,2.055,0.372
256,0.2,1,1.410(0.098),0.410(0.076),0.367(0.153),0.491(0.154),1.005(0.292),1.41,0.098,0.41,0.076,0.367,0.153,0.491,0.154,1.005,0.292
256,0.5,1,1.628(0.459),0.493(0.126),0.367(0.114),0.551(0.106),1.204(0.222),1.628,0.459,0.493,0.126,0.367,0.114,0.551,0.106,1.204,0.222
256,0.9,1,1.920(0.677),0.629(0.113),0.421(0.093),0.581(0.126),1.544(0.360),1.92,0.677,0.629,0.113,0.421,0.093,0.581,0.126,1.544,0.36
256,1.0,1,2.962(0.847),1.840(0.693),1.329(0.371),1.384(0.302),4.378(1.632),2.962,0.847,1.84,0.693,1.329,0.371,1.384,0.302,4.378,1.632
128,0.0,1,3.039(0.239),0.648(0.097),0.287(0.099),0.767(0.228),2.712(0.780),3.039,0.239,0.648,0.097,0.287,0.099,0.767,0.228,2.712,0.78
128,0.2,1,1.374(0.158),0.435(0.087),0.360(0.115),0.455(0.120),0.966(0.189),1.374,0.158,0.435,0.087,0.36,0.115,0.455,0.12,0.966,0.189
128,0.5,1,1.551(0.356),0.461(0.109),0.364(0.100),0.535(0.127),1.214(0.246),1.551,0.356,0.461,0.109,0.364,0.1,0.535,0.127,1.214,0.246
128,0.9,1,1.668(0.383),0.669(0.215),0.414(0.087),0.563(0.125),1.341(0.258),1.668,0.383,0.669,0.215,0.414,0.087,0.563,0.125,1.341,0.258
128,1.0,1,2.462(0.605),1.195(0.316),0.881(0.213),1.098(0.359),2.612(1.274),2.462,0.605,1.195,0.316,0.881,0.213,1.098,0.359,2.612,1.274
64,0.0,1,3.098(0.180),0.666(0.110),0.329(0.122),0.909(0.326),3.113(1.145),3.098,0.18,0.666,0.11,0.329,0.122,0.909,0.326,3.113,1.145
64,0.2,1,1.278(0.185),0.423(0.107),0.395(0.129),0.503(0.151),0.931(0.180),1.278,0.185,0.423,0.107,0.395,0.129,0.503,0.151,0.931,0.18
64,0.5,1,1.466(0.235),0.518(0.204),0.398(0.152),0.531(0.140),1.064(0.265),1.466,0.235,0.518,0.204,0.398,0.152,0.531,0.14,1.064,0.265
64,0.9,1,1.827(0.532),0.685(0.170),0.427(0.121),0.576(0.078),1.335(0.255),1.827,0.532,0.685,0.17,0.427,0.121,0.576,0.078,1.335,0.255
64,1.0,1,1.700(0.573),0.877(0.173),0.689(0.047),0.761(0.085),1.291(0.338),1.7,0.573,0.877,0.173,0.689,0.047,0.761,0.085,1.291,0.338
5000,0.0,5,2.579(0.424),1.102(0.366),0.770(0.347),0.997(0.380),2.258(0.605),2.579,0.424,1.102,0.366,0.77,0.347,0.997,0.38,2.258,0.605
5000,0.2,5,1.475(0.371),0.946(0.356),0.806(0.360),0.878(0.363),1.357(0.377),1.475,0.371,0.946,0.356,0.806,0.36,0.878,0.363,1.357,0.377
5000,0.5,5,1.498(0.438),0.950(0.359),0.813(0.354),0.877(0.372),1.335(0.450),1.498,0.438,0.95,0.359,0.813,0.354,0.877,0.372,1.335,0.45
5000,0.9,5,1.786(0.434),1.061(0.365),0.916(0.348),1.035(0.363),1.612(0.402),1.786,0.434,1.061,0.365,0.916,0.348,1.035,0.363,1.612,0.402
5000,1.0,5,5.999(1.022),4.749(0.883),4.632(1.013),5.172(1.136),7.259(2.841),5.999,1.022,4.749,0.883,4.632,1.013,5.172,1.136,7.259,2.841
4096,0.0,5,2.600(0.434),1.113(0.353),0.778(0.346),1.007(0.386),2.281(0.602),2.6,0.434,1.113,0.353,0.778,0.346,1.007,0.386,2.281,0.602
4096,0.2,5,1.510(0.347),0.960(0.348),0.810(0.354),0.875(0.359),1.353(0.371),1.51,0.347,0.96,0.348,0.81,0.354,0.875,0.359,1.353,0.371
4096,0.5,5,1.482(0.397),0.960(0.337),0.824(0.343),0.882(0.375),1.319(0.454),1.482,0.397,0.96,0.337,0.824,0.343,0.882,0.375,1.319,0.454
4096,0.9,5,1.792(0.479),1.054(0.351),0.925(0.348),1.061(0.381),1.666(0.474),1.792,0.479,1.054,0.351,0.925,0.348,1.061,0.381,1.666,0.474
4096,1.0,5,5.952(1.088),4.673(0.863),4.497(0.880),4.945(0.973),6.664(2.130),5.952,1.088,4.673,0.863,4.497,0.88,4.945,0.973,6.664,2.13
2048,0.0,5,2.218(0.399),0.770(0.292),0.485(0.260),0.724(0.282),1.863(0.486),2.218,0.399,0.77,0.292,0.485,0.26,0.724,0.282,1.863,0.486
2048,0.2,5,1.274(0.277),0.689(0.253),0.524(0.268),0.582(0.268),1.056(0.267),1.274,0.277,0.689,0.253,0.524,0.268,0.582,0.268,1.056,0.267
2048,0.5,5,1.394(0.277),0.683(0.269),0.523(0.269),0.603(0.260),1.039(0.267),1.394,0.277,0.683,0.269,0.523,0.269,0.603,0.26,1.039,0.267
2048,0.9,5,1.894(0.732),0.790(0.348),0.619(0.243),0.825(0.405),1.463(0.808),1.894,0.732,0.79,0.348,0.619,0.243,0.825,0.405,1.463,0.808
2048,1.0,5,4.159(0.848),3.458(0.730),3.446(0.810),3.975(0.854),6.237(2.811),4.159,0.848,3.458,0.73,3.446,0.81,3.975,0.854,6.237,2.811
1024,0.0,5,1.826(0.165),0.503(0.138),0.280(0.152),0.537(0.200),1.598(0.454),1.826,0.165,0.503,0.138,0.28,0.152,0.537,0.2,1.598,0.454
1024,0.2,5,0.966(0.159),0.415(0.153),0.301(0.160),0.388(0.173),0.826(0.247),0.966,0.159,0.415,0.153,0.301,0.16,0.388,0.173,0.826,0.247
1024,0.5,5,1.062(0.403),0.398(0.210),0.320(0.161),0.416(0.181),0.782(0.219),1.062,0.403,0.398,0.21,0.32,0.161,0.416,0.181,0.782,0.219
1024,0.9,5,1.374(0.357),0.433(0.171),0.355(0.135),0.556(0.183),1.114(0.435),1.374,0.357,0.433,0.171,0.355,0.135,0.556,0.183,1.114,0.435
1024,1.0,5,2.764(0.529),2.211(0.664),2.136(0.697),2.378(0.772),4.085(1.143),2.764,0.529,2.211,0.664,2.136,0.697,2.378,0.772,4.085,1.143
512,0.0,5,1.786(0.283),0.429(0.070),0.194(0.080),0.427(0.098),1.386(0.339),1.786,0.283,0.429,0.07,0.194,0.08,0.427,0.098,1.386,0.339
512,0.2,5,0.649(0.110),0.283(0.073),0.211(0.078),0.269(0.090),0.606(0.132),0.649,0.11,0.283,0.073,0.211,0.078,0.269,0.09,0.606,0.132
512,0.5,5,0.937(0.259),0.314(0.112),0.253(0.070),0.341(0.084),0.822(0.217),0.937,0.259,0.314,0.112,0.253,0.07,0.341,0.084,0.822,0.217
512,0.9,5,1.049(0.421),0.346(0.145),0.252(0.069),0.412(0.096),1.044(0.312),1.049,0.421,0.346,0.145,0.252,0.069,0.412,0.096,1.044,0.312
512,1.0,5,2.073(0.476),1.226(0.397),0.879(0.321),1.198(0.259),5.123(2.086),2.073,0.476,1.226,0.397,0.879,0.321,1.198,0.259,5.123,2.086
256,0.0,5,1.879(0.355),0.444(0.053),0.188(0.047),0.428(0.141),1.466(0.549),1.879,0.355,0.444,0.053,0.188,0.047,0.428,0.141,1.466,0.549
256,0.2,5,0.561(0.089),0.254(0.051),0.205(0.046),0.257(0.063),0.577(0.169),0.561,0.089,0.254,0.051,0.205,0.046,0.257,0.063,0.577,0.169
256,0.5,5,0.850(0.238),0.314(0.087),0.227(0.038),0.319(0.044),0.711(0.162),0.85,0.238,0.314,0.087,0.227,0.038,0.319,0.044,0.711,0.162
256,0.9,5,1.092(0.266),0.398(0.120),0.247(0.028),0.418(0.077),1.148(0.341),1.092,0.266,0.398,0.12,0.247,0.028,0.418,0.077,1.148,0.341
256,1.0,5,1.442(0.276),0.727(0.201),0.521(0.218),0.753(0.252),2.178(0.605),1.442,0.276,0.727,0.201,0.521,0.218,0.753,0.252,2.178,0.605
128,0.0,5,1.861(0.353),0.425(0.072),0.193(0.059),0.494(0.155),1.708(0.605),1.861,0.353,0.425,0.072,0.193,0.059,0.494,0.155,1.708,0.605
128,0.2,5,0.558(0.112),0.248(0.053),0.204(0.053),0.253(0.059),0.557(0.115),0.558,0.112,0.248,0.053,0.204,0.053,0.253,0.059,0.557,0.115
128,0.5,5,0.783(0.194),0.299(0.099),0.217(0.039),0.313(0.062),0.627(0.150),0.783,0.194,0.299,0.099,0.217,0.039,0.313,0.062,0.627,0.15
128,0.9,5,0.991(0.301),0.379(0.142),0.232(0.046),0.350(0.054),0.859(0.339),0.991,0.301,0.379,0.142,0.232,0.046,0.35,0.054,0.859,0.339
128,1.0,5,1.138(0.162),0.592(0.127),0.400(0.075),0.580(0.097),1.633(1.097),1.138,0.162,0.592,0.127,0.4,0.075,0.58,0.097,1.633,1.097
64,0.0,5,1.938(0.500),0.463(0.150),0.222(0.074),0.536(0.217),1.786(0.734),1.938,0.5,0.463,0.15,0.222,0.074,0.536,0.217,1.786,0.734
64,0.2,5,0.625(0.078),0.305(0.082),0.273(0.101),0.340(0.141),0.627(0.211),0.625,0.078,0.305,0.082,0.273,0.101,0.34,0.141,0.627,0.211
64,0.5,5,0.936(0.317),0.367(0.178),0.274(0.090),0.321(0.061),0.576(0.151),0.936,0.317,0.367,0.178,0.274,0.09,0.321,0.061,0.576,0.151
64,0.9,5,1.198(0.319),0.459(0.193),0.251(0.064),0.361(0.078),0.794(0.262),1.198,0.319,0.459,0.193,0.251,0.064,0.361,0.078,0.794,0.262
64,1.0,5,1.228(0.317),0.668(0.129),0.437(0.045),0.505(0.072),0.831(0.110),1.228,0.317,0.668,0.129,0.437,0.045,0.505,0.072,0.831,0.11
